Africa;Americas;Asia;Oceania;Europe
Algeria;Anguilla;Afghanistan;American Samoa;Aland Islands
Angola;Antigua and Barbuda;Armenia;Antarctica;Albania
Benin;Argentina;Azerbaijan;Australia;Andorra
Botswana;Aruba;Bahrain;Bouvet Island;Austria
Burkina Faso;Bahamas;Bangladesh;British Indian Ocean Territory;Belarus
Burundi;Barbados;Bhutan;Christmas Island;Belgium
Cameroon;Belize;Brunei Darussalam;Cocos (Keeling) Islands;Bosnia and Herzegovina
Cape Verde;Bermuda;Cambodia;Cook Islands;Bulgaria
Central African Republic;Bolivia;China;Fiji;Croatia
Chad;Bonaire, Saint Eustatius and Saba;Georgia;French Polynesia;Cyprus
Comoros;Brazil;Hong Kong;French Southern Territories;Czech Republic
Congo;British Virgin Islands;India;Guam;Denmark
Congo (DR);Canada;Indonesia;Heard and McDonald Islands;Estonia
Cote d'Ivoire;Cayman Islands;Iran (Islamic Republic of);Kiribati;Faeroe Islands
Djibouti;Chile;Iraq;Marshall Islands;Finland
Egypt;Colombia;Israel;Micronesia;France
Equatorial Guinea;Costa Rica;Japan;Nauru;Germany
Eritrea;Cuba;Jordan;New Caledonia;Gibraltar
Ethiopia;Curacao;Kazakhstan;New Zealand;Greece
Gabon;Dominica;Korea (DPRK);Niue;Guernsey
Gambia;Dominican Republic;Kuwait;Norfolk Island;Holy See
Ghana;Ecuador;Kyrgyzstan;Northern Mariana Islands;Hungary
Guinea;El Salvador;Laos (PDR);Palau;Iceland
Guinea-Bissau;Falkland Islands (Malvinas);Lebanon;Papua New Guinea;Ireland
Kenya;French Guiana;Macao;Pitcairn;Isle Of Man
Lesotho;Greenland;Malaysia;Samoa;Italy
Liberia;Grenada;Maldives;Solomon Islands;Jersey
Libyan Arab Jamahiriya;Guadeloupe;Mongolia;South Georgia and South Sandwich Islands;Latvia
Madagascar;Guatemala;Myanmar;Tokelau;Liechtenstein
Malawi;Guyana;Nepal;Tonga;Lithuania
Mali;Haiti;Occupied Palestinian Territory;Tuvalu;Luxembourg
Mauritania;Honduras;Oman;US Minor Outlying Islands;Macedonia (frm Yugoslavia)
Mauritius;Jamaica;Pakistan;Vanuatu;Malta
Mayotte;Martinique;Philippines;Wallis and Futuna Islands;Monaco
Morocco;Mexico;Qatar;;Montenegro
Mozambique;Montserrat;Republic of Korea;;Netherlands
Namibia;Nicaragua;Saudi Arabia;;Norway
Niger;Panama;Singapore;;Poland
Nigeria;Paraguay;Sri Lanka;;Portugal
Reunion;Peru;Syrian Arab Republic;;Republic of Moldova
Rwanda;Puerto Rico;Taiwan;;Romania
Saint Helena;Saint Barthelemy;Tajikistan;;Russian Federation
Sao Tome and Principe;Saint Kitts and Nevis;Thailand;;San Marino
Senegal;Saint Lucia;Timor-Leste;;Serbia
Seychelles;Saint Martin;Turkey;;Slovakia
Sierra Leone;Saint Pierre and Miquelon;Turkmenistan;;Slovenia
Somalia;Saint Vincent and the Grenadines;United Arab Emirates;;Spain
South Africa;Sint Maarten (Dutch part);Uzbekistan;;Svalbard and Jan Mayen Islands
South Sudan;Suriname;Viet Nam;;Sweden
Sudan;Trinidad and Tobago;Yemen;;Switzerland
Swaziland;Turks and Caicos Islands;;;Ukraine
Togo;United States Virgin Islands;;;United Kingdom of Great Britain
Tunisia;United States of America;;;
Uganda;Uruguay;;;
United Republic of Tanzania;Venezuela;;;
Western Sahara;;;;
Zambia;;;;
Zimbabwe;;;;
